1, 100, 9, 10, 2, 80, 10, 5
2, 200, 8, 9, 3, 100, 8, 4
3, 150, 12, 13, 1, 120, 12, 6
4, 200, 12, 13, 1, 120, 12, 6
5, 100, 14, 17, 2, 80, 10, 5
6, 200, 13, 18, 3, 100, 8, 4
7, 150, 12, 20, 1, 120, 12, 6
8, 200, 15, 22, 1, 120, 12, 6
9, 100, 9, 10, 2, 80, 10, 5
10, 200, 8, 20, 3, 100, 8, 4
11, 150, 12, 18, 1, 120, 12, 6
12, 200, 14, 20, 1, 120, 12, 6
13, 100, 21, 22, 2, 80, 10, 5
14, 200, 22, 23, 3, 100, 8, 4
15, 150, 20, 23, 1, 120, 12, 6
16, 200, 15, 22, 1, 120, 12, 6
17, 100, 9, 20, 2, 80, 10, 5
18, 200, 6, 10, 3, 100, 8, 4
19, 150, 4, 9, 1, 120, 12, 6
20, 200, 17, 23, 1, 120, 12, 6
